S1,410,ISU-90,,22C122,Sortie Generation FLT,5825,88,108,89,,J3D,,N,0
S1,420,ISU-60,,22C122,Sortie Generation FLT,5500,88,108,60,,J3D,,N,0
S1,430,ISU-90,,22C122,Sortie Generation FLT,6850,88,108,90,,J3D,,N,0
S1,440,Trailer Loaded,,22C122,Sortie Generation FLT,3530,132,54,100,,A2D,,N,0
S1,450,ISU-90,,22C122,Inspections,4100,88,108,90,,J3D,,N,9
S1,451,463L PLT,,22C122,Sortie Generation FLT,3263,88,108,59,22,D3D,H,N,0
S1,470,MB-4 Coleman,,22C122,Sortie Generation FLT,12680,178,65,85,3  8,L2D,H,N,8
S1,480,MB-4 Coleman,,22C122,Sortie Generation FLT,12680,178,65,85,3  8,L2D,H,N,11
S1,510,Gun Removal Trailer,,22C122,Sortie Generation FLT,1770,129,52,50,,A2D,,N,7
S1,520,463L PLT,,31C122,Life Support,4850,88,108,86,,J3D,,N,13
S1,530,463L PLT,,35A122,Operations (Intel),6381,88,108,96,,J3B,G,N,10
S1,540,463L PLT,,31C122,Life Support,6600,88,108,88,3  8  21,D3D,,N,3
S1,600,ISU-90,,415400,SUP Mobility SEC,5460,88,108,90,,J3D,,N,0
S1,601,ISU-90,,415400,SUP Mobility SEC,3625,88,108,90,,J3D,,N,0
S1,602,ISU-90,,415400,SUP Mobility SEC,1747,88,108,90,,J3D,,N,0
S1,4200,Trailer Loaded,,23D100,Accessories,5622,262,130,90,8  22  51,L1D,,N,0
S1,4214,LOX Cart,3655000434062YD,23D100,Accessories,1050,89,54,43,22,J2B,,Y,0
S1,4218,Liquid N2 TRL,,23D100,Accessories,3490,123,60,57,22,L2D,H,Y,0
S1,4219,Liquid N2 TRL,,23D100,Accessories,3490,123,60,57,22,L2D,H,Y,0
S1,4230,463L PLT ,,23D100,Accessories,1614,88,108,67,3,J3D,,N,0
S3,112,Welder Port,,23B100,Fabrication,3040,138,75,75,3  8  22,L2D,,N,0
S3,4260,ECM Pods,,23Echo100,Avionics,5159,126,108,86,,J8D,G,N,0
S3,4262,ECM Pods,,23Echo100,Avionics,10092,127,108,90,,J8D,G,N,0
S3,4264,ECM Pods,,23Echo100,Avionics,10092,127,108,90,,J8D,G,N,0
T1,1,B-4 Stand Loaded,,2E1000,AGE,690,107,53,85,,A2D,,N,0
T1,5,MJ-1 Bomblift,1730011237269,2E1000,AGE,3940,148,48,42,3,L2D,,N,0
T1,7,Trailer Loaded,,2E3200,Armanent,3700,144,65,81,,A2D,,N,0
T1,16,B-1 Stand Loaded,,2E1000,AGE,1000,180,59,70,,J2,,N,0
T1,21,MHU-83 Bomblift,1730011237270,2E1000,AGE,7080,196,77,40,3,L2D,,N,0
T1,22,HYD Cart,,2E1000,AGE,330,48,30,45,,J3B,,N,0
T1,37,NF-2D Lite Cart,6230012240938,2E1000,AGE,2380,94,66,68,3,L2D,,N,0
T1,41,NF-2D Lite Cart,6230012240938,2E1000,AGE,2380,94,66,68,99X,L3D,,N,0
T1,44,MC-2A W/Shoring,,2E1000,AGE,850,90,47,38,99X,L3D,,N,0
T1,45,C-10C A/C,4120011014704,2E1000,AGE,1190,107,71,71,,A2D,,N,0
T1,46,C-10C A/C,4120011014704,2E1000,AGE,1190,107,71,71,,A2D,,N,0
T1,47,M32A-60 Gen Set,6115004208486,2E1000,AGE,3500,120,68,67,,L2D,,N,0
T1,48,NF-2D Lite Cart,6230012240938,2E1000,AGE,2380,94,66,68,,L2D,,N,0
T1,50,C-10C A/C,4120011014704,2E1000,AGE,1190,107,71,71,,A2D,,N,0
T1,51,Tester Cabin pres,,2E1000,AGE,3370,109,59,97,,L2D,,N,0
T1,54,M32A-60 Gen Set,6115004208486,2E1000,AGE,3500,120,68,67,,L2D,,N,0
T1,55,Bobtail,1740012856403YW,2E1000,AGE,6140,168,95,74,3,L2D,,N,0
T1,57,NF-2 Lite Cart,6230012240938,2E1000,AGE,2380,94,66,68,,L3D,,N,0
T1,62,MC-7 Air Comp,4310005953866,2E1000,AGE,2900,125,70,55,3,L2D,,N,0
T1,70,Gen-86,,2E1000,AGE,6450,100,78,71,3,D3D,,N,0
T1,96,MHU-83 Bomblift,1730011237270,2E1000,AGE,7080,196,77,40,3,L2D,,N,0
T1,460,463L PLT,,2E2100,Inspections,1925,88,108,67,,J3D,,N,0
T1,603,ISU-90,,415400,SUP Mobility SEC,5460,88,108,90,,J3D,,N,0
T1,604,ISU-90,,415400,SUP Mobility SEC,2224,88,108,90,,J3D,,N,0
T1,605,ISU-90,,415400,SUP Mobility SEC,3565,88,108,90,,J3D,,N,0
T1,606,ISU-90,,415400,SUP Mobility SEC,3710,88,108,90,,J3D,,N,0
T1,4250,463L PLT,,23Echo100,Avionics,5324,88,108,65,,J3D,S,N,0
T1,4252,463L PLT,,23Echo100,Avionics,5988,88,108,100,,J2D,S,N,0
T1,4254,463L PLT,,23Echo100,Avionics,5394,88,108,100,,J8D,S,N,0
T1,4256,463L PLT,,23Echo100,Avionics,5566,88,108,100,,J8D,S,N,0
T1,4258,463L PLT,,23Echo100,Avionics,3366,88,108,50,,J3D,S,N,0
T1,4290,463L PLT,,2R4000,Integrated Avionics,5490,88,108,74,,J3D,,N,0
T1,4292,463L PLT,,2R4000,Integrated Avionics,5393,88,108,64,,J3D,G,N,0
T2,4,C-10C A/C,4120011014704,2E1000,AGE,1190,107,71,71,,A2D,,N,0
T2,8,NF-2 Lite Cart,6230012240938,2E1000,AGE,2380,94,66,68,3,L2D,,N,0
T2,11,M32A-60 Gen Set,6115004208486,2E1000,AGE,3500,120,68,67,3,L2D,,N,0
T2,13,NF-2 Lite Cart,6230012240938,2E1000,AGE,2380,94,66,68,3,L2D,,N,0
T2,31,M32A-60 Gen Set,6115004208486,23F100,AGE,3500,120,68,67,3,L2D,,N,0
T3,4343,3000 Trailer,1740007135908,2R2100,Jet Engine,5620,190,60,95,9,L2D,E,N,0
