,,Conv Ram for MJ-40,1730010636527,,,,,,,,,,,
S2,8,Jump Start Cart,6115011028148,2F9000,AGE,380,84,59,33,9,L3D,H,N,3
S2,9,MJ-40 ,173001471735,2F9000,AGE,7760,181,77,74,9,L2D,H,N,0
,,Conv Ram for MJ-40,1730010636527,,,,,,,,,,,
S2,10,463L PLT (Life Support),,31C100,Life Support,3495,88,108,92,,J3D,,N,3
S2,11,Bobtail,1740012856403YW,2F9000,AGE,8100,176,97,81,9,L2D,H,N,0
S2,12,B-1 Stand,1730003905618,2F9000,AGE,900,188,60,82,,A2C,,N,3
S2,13,MC-2A Air Compressor,4310005473741,2F9000,AGE,890,89,54,40,9,L2D,H,N,0
S2,14,3000E TRL ,1740007135908,23C100,Propulsion FLT,5748,186,61,99,9,E2D,E,N,0
,,Engine for 3000E TRL,284000F101102,,,,,,,,,,,
S2,15,NF-2D Lite Cart,6230012240938,2F9000,AGE,1980,101,69,62,9,L2D,H,N,0
S2,16,NF-2D Lite Cart,6230012240938,2F9000,AGE,1980,101,69,62,9,L2D,H,N,0
S2,17,463L PLT,,41Echo100,SUP Mobility SEC,4000,88,108,96,,J3D,,N,0
S2,18,HYD Hand Cart,4910008955394,2F9000,AGE,280,55,33,37,,A3D,,N,3
S2,19,MC-7 Air Compressor,4310005953866,2F9000,AGE,2420,125,71,74,9,L2D,H,N,0
S2,20,463L PLT,,41Echo100,SUP Mobility SEC,4062,88,108,96,,J3D,,N,0
S2,21,463L PLT,,41Echo100,SUP Mobility SEC,4062,88,108,96,,J3D,,N,0
S2,22,463L PLT,,41Echo100,SUP Mobility SEC,4062,88,108,96,,J3D,,N,0
S2,23,LN2 Cart,3655010385125,2F9000,AGE,3480,135,57,63,22,L2D,H,Y,0
,,Vent Kit for LN2 Cart,9999VentKit,,,,,,,,,,,
S2,24,NF-2D Lite Cart,6230012240938,2F9000,AGE,1980,101,69,62,9,L2D,H,N,0
S2,25,E.T. TRL,1740011448439,23A000,Maintenance SQN,2300,149,59,63,,A2D,,N,3
,,IDG Jack,1730011446828,,,,,,,,,,,
S2,26,ACE A/C,41200110999402,2F9000,AGE,16250,228,94,99,9,L2D,H,N,0
S2,27,M325-95 Start Cart,2835012139272YZ,2F9000,AGE,2100,116,64,77,9,L2D,H,N,3
